n,t,rH,Q,soak,assured,time,arc
n,t,rH,Q,soak,assured,time,arc
n,t,rH,Q,soak,assured,time,arc
n,t,rH,Q,soak,assured,time,arc
n,t,rH,Q,soak,assured
n,t,rH,Q,soak,assured,time,arc
n,t,rH,Q,soak,assured
n,t,rH,Q,soak,assured,time,arc
n,t,rH,Q,soak,assured
n,t,rH,Q,soak,assured,time,arc
1,10,20,10,20,1
1,10,20,10,20,1,1.5040628910064697,1
1,10,20,10,20,1,11.43259072303772,2
1,10,20,10,20,1,21.457454681396484,3
2,10,80,11,30,1
2,10,80,11,30,1,31.504623651504517,1
3,20,80,12,40,1
3,20,80,12,40,1,41.48699688911438,1
4,20,20,13,50,1
4,20,20,13,50,1,51.45007395744324,1
4,20,20,13,50,1,61.46864604949951,2
4,20,20,13,50,1,71.48388624191284,3
4,20,20,13,50,1,81.46619772911072,4
4,20,20,13,50,1,91.52397012710571,5
4,20,20,13,50,1,101.51883435249329,6
4,20,20,13,50,1,111.49726247787476,7
4,20,20,13,50,1,121.5522403717041,8
4,20,20,13,50,1,131.51207208633423,9
4,20,20,13,50,1,141.55023312568665,10
4,20,20,13,50,1,151.560138463974,11
4,20,20,13,50,1,161.5806860923767,12
4,20,20,13,50,1,171.6065239906311,13
4,20,20,13,50,1,181.5621531009674,14
4,20,20,13,50,1,191.6244843006134,15
4,20,20,13,50,1,201.58984994888306,16
4,20,20,13,50,1,211.60415077209473,17
4,20,20,13,50,1,221.6189947128296,18
4,20,20,13,50,1,231.63182473182678,19
4,20,20,13,50,1,241.66018962860107,20
4,20,20,13,50,1,251.67165756225586,21
4,20,20,13,50,1,261.65361976623535,22
4,20,20,13,50,1,271.67165756225586,23
4,20,20,13,50,1,281.6692364215851,24
4,20,20,13,50,1,291.67870020866394,25
4,20,20,13,50,1,301.7011978626251,26
4,20,20,13,50,1,311.7091555595398,27
4,20,20,13,50,1,321.7190012931824,28
4,20,20,13,50,1,331.75389647483826,29
4,20,20,13,50,1,341.7541058063507,30
4,20,20,13,50,1,351.7224655151367,31
4,20,20,13,50,1,361.7478446960449,32
4,20,20,13,50,1,371.7852818965912,33
4,20,20,13,50,1,381.7952275276184,34
4,20,20,13,50,1,391.76954531669617,35
4,20,20,13,50,1,401.8816888332367,36
1,10,20,10,20,1
1,10,20,10,20,1
1,10,20,10,20,1
1,10,20,10,20,1
1,10,20,10,20,1
1,10,20,10,20,1
1,10,20,10,20,1
1,10,20,10,20,1,1.5001413822174072,1
1,10,20,10,20,1,11.47852611541748,2
1,10,20,10,20,1,21.441586017608643,3
2,10,80,11,30,1
2,10,80,11,30,1,31.445428371429443,1
3,20,80,12,40,1
3,20,80,12,40,1,41.45202684402466,1
4,20,20,13,50,1
4,20,20,13,50,1,51.491994857788086,1
4,20,20,13,50,1,61.47445893287659,2
4,20,20,13,50,1,71.48926615715027,3
4,20,20,13,50,1,81.4880301952362,4
4,20,20,13,50,1,91.64818668365479,5
4,20,20,13,50,1,101.55095672607422,6
4,20,20,13,50,1,111.51606678962708,7
4,20,20,13,50,1,121.51820635795593,8
4,20,20,13,50,1,131.56307816505432,9
4,20,20,13,50,1,141.53847908973694,10
4,20,20,13,50,1,151.6506950855255,11
4,20,20,13,50,1,161.63976907730103,12
4,20,20,13,50,1,171.58013677597046,13
4,20,20,13,50,1,181.57132148742676,14
4,20,20,13,50,1,191.53458428382874,15
4,20,20,13,50,1,201.5432448387146,16
4,20,20,13,50,1,211.59962797164917,17
4,20,20,13,50,1,221.5521035194397,18
4,20,20,13,50,1,231.59290075302124,19
4,20,20,13,50,1,241.56159019470215,20
4,20,20,13,50,1,251.57619047164917,21
4,20,20,13,50,1,261.58761835098267,22
4,20,20,13,50,1,271.63178157806396,23
4,20,20,13,50,1,281.5968050956726,24
4,20,20,13,50,1,291.7002820968628,25
4,20,20,13,50,1,301.6123032569885,26
4,20,20,13,50,1,311.73126554489136,27
4,20,20,13,50,1,321.6644413471222,28
4,20,20,13,50,1,331.6109108924866,29
4,20,20,13,50,1,341.6342103481293,30
4,20,20,13,50,1,351.63910818099976,31
4,20,20,13,50,1,361.6464726924896,32
4,20,20,13,50,1,371.70497822761536,33
4,20,20,13,50,1,381.79459023475647,34
4,20,20,13,50,1,391.85197162628174,35
4,20,20,13,50,1,401.75171518325806,36
4,20,20,13,50,1,411.7256443500519,37
4,20,20,13,50,1,421.6530194282532,38
4,20,20,13,50,1,431.65353751182556,39
4,20,20,13,50,1,441.7567150592804,40
4,20,20,13,50,1,451.68335700035095,41
4,20,20,13,50,1,461.6961507797241,42
4,20,20,13,50,1,471.6662218570709,43
4,20,20,13,50,1,481.6944637298584,44
4,20,20,13,50,1,491.76802706718445,45
4,20,20,13,50,1,501.8082489967346,46
4,20,20,13,50,1,511.71305084228516,47
4,20,20,13,50,1,521.7391641139984,48
4,20,20,13,50,1,531.8000922203064,49
4,20,20,13,50,1,541.7572801113129,50
4,20,20,13,50,1,551.7428064346313,51
4,20,20,13,50,1,561.7675802707672,52
4,20,20,13,50,1,571.7413651943207,53
4,20,20,13,50,1,581.8246054649353,54
4,20,20,13,50,1,591.7422037124634,55
4,20,20,13,50,1,601.8078420162201,56
4,20,20,13,50,1,611.8223867416382,57
4,20,20,13,50,1,621.7633197307587,58
4,20,20,13,50,1,631.7669031620026,59
4,20,20,13,50,1,641.7542459964752,60
4,20,20,13,50,1,651.7429988384247,61
4,20,20,13,50,1,661.7400827407837,62
4,20,20,13,50,1,671.7467041015625,63
4,20,20,13,50,1,682.0422339439392,64
4,20,20,13,50,1,691.842161655426,65
4,20,20,13,50,1,701.8757951259613,66
4,20,20,13,50,1,711.7941379547119,67
4,20,20,13,50,1,721.8472673892975,68
